Pairs to judge: 236
[1/236] claude-haiku-4-5 / T1_ru_edit_short... score=5
[2/236] claude-haiku-4-5 / T2_yt_summary_en... score=5
[3/236] claude-haiku-4-5 / T3_yt_summary_ru... score=5
[4/236] claude-haiku-4-5 / T4_json_extract... score=5
[5/236] claude-haiku-4-5 / T5_translate_ru_en... score=5
[6/236] claude-haiku-4-5 / T6_classify... score=5
[7/236] claude-haiku-4-5 / T7_bash_oneliner... score=3
[8/236] claude-haiku-4-5 / T8_python_function... score=4
[9/236] claude-opus-4-7 / T1_ru_edit_short... score=5
[10/236] claude-opus-4-7 / T2_yt_summary_en... score=5
[11/236] claude-opus-4-7 / T3_yt_summary_ru... score=5
[12/236] claude-opus-4-7 / T4_json_extract... score=5
[13/236] claude-opus-4-7 / T5_translate_ru_en... score=5
[14/236] claude-opus-4-7 / T6_classify... score=5
[15/236] claude-opus-4-7 / T7_bash_oneliner... score=5
[16/236] claude-opus-4-7 / T8_python_function... score=5
[17/236] claude-sonnet-4-6 / T1_ru_edit_short... score=3
[18/236] claude-sonnet-4-6 / T2_yt_summary_en... score=5
[19/236] claude-sonnet-4-6 / T3_yt_summary_ru... score=5
[20/236] claude-sonnet-4-6 / T4_json_extract... score=5
[21/236] claude-sonnet-4-6 / T5_translate_ru_en... score=5
[22/236] claude-sonnet-4-6 / T6_classify... score=5
[23/236] claude-sonnet-4-6 / T7_bash_oneliner... score=5
[24/236] claude-sonnet-4-6 / T8_python_function... score=4
[25/236] gemini-2.5-flash / T1_ru_edit_short... score=5
[26/236] gemini-2.5-flash / T2_yt_summary_en... score=5
[27/236] gemini-2.5-flash / T3_yt_summary_ru... score=5
[28/236] gemini-2.5-flash / T4_json_extract... score=5
[29/236] gemini-2.5-flash / T5_translate_ru_en... score=5
[30/236] gemini-2.5-flash / T6_classify... score=5
[31/236] groq-llama-3.3-70b / T1_ru_edit_short... score=5
[32/236] groq-llama-3.3-70b / T2_yt_summary_en... score=5
[33/236] groq-llama-3.3-70b / T3_yt_summary_ru... score=5
[34/236] groq-llama-3.3-70b / T4_json_extract... score=5
[35/236] groq-llama-3.3-70b / T5_translate_ru_en... score=5
[36/236] groq-llama-3.3-70b / T6_classify... score=5
[37/236] groq-llama-3.3-70b / T7_bash_oneliner... score=1
[38/236] groq-llama-3.3-70b / T8_python_function... score=2
[39/236] groq-qwen-32b / T1_ru_edit_short... score=3
[40/236] groq-qwen-32b / T2_yt_summary_en... score=5
[41/236] groq-qwen-32b / T4_json_extract... score=5
[42/236] groq-qwen-32b / T5_translate_ru_en... score=None
[43/236] groq-qwen-32b / T7_bash_oneliner... score=None
[44/236] minimax-m2.1-direct / T1_ru_edit_short... score=5
[45/236] minimax-m2.1-direct / T2_yt_summary_en... score=1
[46/236] minimax-m2.1-direct / T3_yt_summary_ru... score=0
[47/236] minimax-m2.1-direct / T4_json_extract... score=5
[48/236] minimax-m2.1-direct / T5_translate_ru_en... score=5
[49/236] minimax-m2.1-direct / T6_classify... score=5
[50/236] minimax-m2.1-direct / T7_bash_oneliner... score=5
[51/236] minimax-m2.1-direct / T8_python_function... score=3
[52/236] minimax-m2.5-direct / T1_ru_edit_short... score=5
[53/236] minimax-m2.5-direct / T2_yt_summary_en... score=3
[54/236] minimax-m2.5-direct / T3_yt_summary_ru... score=3
[55/236] minimax-m2.5-direct / T4_json_extract... score=5
[56/236] minimax-m2.5-direct / T5_translate_ru_en... score=5
[57/236] minimax-m2.5-direct / T6_classify... score=1
[58/236] minimax-m2.5-direct / T7_bash_oneliner... score=0
[59/236] minimax-m2.5-direct / T8_python_function... score=4
[60/236] minimax-m2.7-direct / T1_ru_edit_short... score=5
[61/236] minimax-m2.7-direct / T2_yt_summary_en... score=5
[62/236] minimax-m2.7-direct / T3_yt_summary_ru... score=4
[63/236] minimax-m2.7-direct / T4_json_extract... score=5
[64/236] minimax-m2.7-direct / T5_translate_ru_en... score=5
[65/236] minimax-m2.7-direct / T6_classify... score=5
[66/236] minimax-m2.7-direct / T7_bash_oneliner... score=1
[67/236] minimax-m2.7-direct / T8_python_function... score=1
[68/236] ocg-deepseek-v4-flash / T1_ru_edit_short... score=5
[69/236] ocg-deepseek-v4-flash / T2_yt_summary_en... score=5
[70/236] ocg-deepseek-v4-flash / T4_json_extract... score=5
[71/236] ocg-deepseek-v4-flash / T5_translate_ru_en... score=5
[72/236] ocg-deepseek-v4-flash / T6_classify... score=5
[73/236] ocg-deepseek-v4-flash / T7_bash_oneliner... score=5
[74/236] ocg-deepseek-v4-pro / T1_ru_edit_short... score=5
[75/236] ocg-deepseek-v4-pro / T2_yt_summary_en... score=5
[76/236] ocg-deepseek-v4-pro / T3_yt_summary_ru... score=5
